swing_id,event_a,event_b,overlap_bars
354,break_retest_B,breakout_A,0
354,break_retest_B,fib_rejection_C,0
354,break_retest_B,m1_structure_break_D,6
354,break_retest_B,momentum_E,3
354,fib_rejection_C,m1_structure_break_D,1
354,fib_rejection_C,momentum_E,0
354,m1_structure_break_D,momentum_E,39
363,breakout_A,fib_rejection_C,3
363,breakout_A,m1_structure_break_D,43
363,breakout_A,momentum_E,16
363,break_retest_B,breakout_A,0
363,break_retest_B,fib_rejection_C,5
363,break_retest_B,m1_structure_break_D,4
363,break_retest_B,momentum_E,1
363,fib_rejection_C,m1_structure_break_D,5
363,fib_rejection_C,momentum_E,2
363,m1_structure_break_D,momentum_E,23
365,breakout_A,fib_rejection_C,2
365,breakout_A,m1_structure_break_D,53
365,breakout_A,momentum_E,21
365,break_retest_B,breakout_A,0
365,break_retest_B,fib_rejection_C,5
