swing_id,direction,event,bar_in_swing,swing_position_pct,timestamp,open,high,low,close,range_pips,body_ratio,close_location,atr14_pips,range_vs_atr14,return_3m_pips,fib_rejection_level_C,entry_reference
575,DOWN,m1_structure_break_D,496,27.849522740033688,2026-06-23 11:36:00,1.13817,1.13829,1.13815,1.13816,1.40000000000029,0.07142857142743855,0.07142857142902458,1.5857142857138888,0.8828828828832866,-2.4999999999986144,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,497,27.9056709713644,2026-06-23 11:37:00,1.13813,1.1382,1.13808,1.13812,1.2000000000012,0.08333333333379593,0.3333333333333333,1.5785714285711436,0.7601809954760106,-0.9999999999998899,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,498,27.961819202695114,2026-06-23 11:38:00,1.13812,1.13812,1.13799,1.13806,1.2999999999996348,0.4615384615381988,0.5384615384618012,1.5214285714282294,0.8544600938966657,-1.2999999999996348,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,499,28.017967434025827,2026-06-23 11:39:00,1.13805,1.13805,1.13784,1.13784,2.100000000000435,1.0,0.0,1.5785714285711436,1.3303167420819635,-3.20000000000098,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,500,28.07411566535654,2026-06-23 11:40:00,1.13786,1.13788,1.1378,1.13783,0.8000000000008001,0.37500000000208167,0.3749999999993061,1.5642857142854942,0.5114155251147386,-2.900000000001235,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,501,28.130263896687254,2026-06-23 11:41:00,1.13786,1.13788,1.13776,1.13779,1.1999999999989797,0.5833333333339501,0.25,1.5357142857140373,0.7813953488366713,-2.6999999999999247,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,527,29.590117911285795,2026-06-23 12:07:00,1.13819,1.13822,1.13787,1.13788,3.5000000000007248,0.8857142857141951,0.028571428571609832,1.5928571428569516,2.1973094170410774,-2.9999999999996696,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,546,30.656934306569344,2026-06-23 12:26:00,1.13821,1.13827,1.13806,1.13806,2.0999999999982144,0.7142857142857143,0.0,1.549999999999845,1.3548387096764027,-1.5999999999993797,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,548,30.76923076923077,2026-06-23 12:28:00,1.13812,1.13812,1.13798,1.138,1.40000000000029,0.8571428571435369,0.14285714285646312,1.2857142857139854,1.0888888888893686,-2.20000000000109,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,550,30.881527231892196,2026-06-23 12:30:00,1.13797,1.13797,1.13788,1.13789,0.8999999999992347,0.8888888888880665,0.1111111111119335,1.1571428571426663,0.7777777777772448,-2.4999999999986144,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,571,32.06064008983717,2026-06-23 12:51:00,1.13827,1.13827,1.13814,1.13814,1.2999999999996348,1.0,0.0,0.9000000000001863,1.4444444444437397,-1.80000000000069,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,572,32.11678832116788,2026-06-23 12:52:00,1.13812,1.13819,1.13812,1.13813,0.700000000000145,0.14285714285804915,0.14285714285804915,0.9000000000001863,0.7777777777777778,-1.1999999999989797,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,573,32.1729365524986,2026-06-23 12:53:00,1.13813,1.13813,1.13798,1.13811,1.500000000000945,0.13333333333412284,0.8666666666658772,0.850000000000176,1.7647058823536876,-1.500000000000945,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,576,32.341381246490734,2026-06-23 12:56:00,1.13802,1.13806,1.13794,1.13797,1.2000000000012,0.41666666666712926,0.2499999999995374,0.950000000000038,1.2631578947380548,-1.40000000000029,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,577,32.39752947782145,2026-06-23 12:57:00,1.13797,1.13799,1.13785,1.1379,1.40000000000029,0.5,0.3571428571419508,1.0071428571427938,1.3900709219861909,-1.7000000000000348,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,580,32.565974171813586,2026-06-23 13:00:00,1.13794,1.13796,1.13779,1.13782,1.7000000000000348,0.7058823529405618,0.17647058823514045,1.0571428571426456,1.608108108108463,-0.7999999999985796,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,584,32.79056709713644,2026-06-23 13:04:00,1.13783,1.13783,1.13772,1.13773,1.0999999999983245,0.9090909090921937,0.09090909090780636,1.0500000000000589,1.0476190476173932,-0.6000000000017103,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,585,32.846715328467155,2026-06-23 13:05:00,1.13773,1.1378,1.13769,1.13769,1.0999999999983245,0.3636363636352626,0.0,1.035714285714251,1.0620689655156594,-1.9999999999997797,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,599,33.63279056709714,2026-06-23 13:19:00,1.13795,1.13795,1.13788,1.1379,0.700000000000145,0.7142857142870738,0.28571428571292623,1.0214285714287603,0.6853146853147005,-1.3000000000018552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,605,33.96967995508142,2026-06-23 13:25:00,1.13794,1.13795,1.13782,1.13785,1.2999999999996348,0.6923076923072982,0.2307692307690994,0.8571428571429214,1.5166666666661268,-1.4999999999987246,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,626,35.14879281302639,2026-06-23 13:46:00,1.1381,1.1381,1.13803,1.13804,0.6999999999979245,0.8571428571446698,0.14285714285533024,0.9428571428564997,0.7424242424225476,-0.700000000000145,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,627,35.204941044357106,2026-06-23 13:47:00,1.13805,1.13806,1.13797,1.138,0.9000000000014552,0.5555555555558297,0.333333333332511,0.9499999999995623,0.9473684210545998,-0.9999999999998899,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,633,35.54183043234138,2026-06-23 13:53:00,1.13799,1.13799,1.13789,1.13793,0.9999999999998899,0.5999999999995559,0.4000000000004441,0.7357142857138717,1.3592233009714891,-0.7999999999985796,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,644,36.159460976979226,2026-06-23 14:04:00,1.138,1.138,1.13786,1.1379,1.3999999999980695,0.7142857142866206,0.2857142857133794,0.9071428571419801,1.5433070866135372,-0.9000000000014552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,658,36.94553621560921,2026-06-23 14:18:00,1.13799,1.138,1.13794,1.13794,0.5999999999994898,0.8333333333358005,0.0,0.678571428571433,0.8842105263150318,-0.5000000000010552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,667,37.450870297585624,2026-06-23 14:27:00,1.13795,1.13795,1.13789,1.13789,0.5999999999994898,1.0,0.0,0.6928571428570824,0.8659793814426382,-0.9999999999998899,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,669,37.56316676024705,2026-06-23 14:29:00,1.13792,1.13792,1.13787,1.13787,0.5000000000010552,1.0,0.0,0.685714285714337,0.7291666666681509,-0.700000000000145,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,670,37.61931499157777,2026-06-23 14:30:00,1.13787,1.13787,1.13783,1.13784,0.40000000000040004,0.7499999999986122,0.2500000000013878,0.685714285714337,0.583333333333873,-0.5000000000010552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,678,38.06850084222347,2026-06-23 14:38:00,1.13789,1.13789,1.13767,1.13774,2.20000000000109,0.6818181818182736,0.3181818181817264,0.7642857142858046,2.8785046728982824,-1.5999999999993797,,NEXT_BAR_OPEN
