depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips,robustness_score,depth_distance,deviation_distance,backstep_distance
330,75,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,7.5,0.9602378639344546,20,75,20
330,100,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,10.0,0.9602378639344546,20,50,20
330,125,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,12.5,0.9602378639344546,20,25,20
330,150,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,15.0,0.9602378639344546,20,0,20
330,175,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,17.5,0.9602378639344546,20,25,20
330,200,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,20.0,0.9602378639344546,20,50,20
330,225,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,22.5,0.9602378639344546,20,75,20
330,250,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,25.0,0.9602378639344546,20,100,20
360,25,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,2.5,0.9576471416322982,10,125,20
360,50,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,5.0,0.9576471416322982,10,100,20
360,75,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,7.5,0.9576471416322982,10,75,20
360,100,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,10.0,0.9576471416322982,10,50,20
360,125,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,12.5,0.9576471416322982,10,25,20
360,150,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,15.0,0.9576471416322982,10,0,20
360,175,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,17.5,0.9576471416322982,10,25,20
360,200,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,20.0,0.9576471416322982,10,50,20
360,225,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,22.5,0.9576471416322982,10,75,20
360,250,60,696,695,37.80000000000116,420.0,0.11496746203905328,0.14082477281553765,25.0,0.9576471416322982,10,100,20
325,25,60,790,789,34.79999999999927,378.0,0.12149949793595684,0.14722943293322313,2.5,0.9546272498807974,25,125,20
