period,depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips
2026-04,350,50,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,5.0
2026-04,350,100,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,10.0
2026-04,350,200,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,20.0
2026-04,350,225,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,22.5
2026-04,350,250,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,25.0
2026-04,350,25,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,2.5
2026-04,350,100,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,10.0
2026-04,350,75,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,7.5
2026-04,350,50,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,5.0
2026-04,350,175,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,17.5
2026-04,350,200,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,20.0
2026-04,350,225,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,22.5
2026-04,350,125,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,12.5
2026-04,350,150,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,15.0
2026-04,350,25,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,2.5
2026-04,350,250,60,57,56,37.15000000000023,447.0,0.10723272255333632,0.14910928964092993,25.0
2026-05,350,200,40,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,20.0
2026-05,350,200,20,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,20.0
2026-05,350,225,40,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,22.5
2026-05,350,225,20,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,22.5
2026-05,350,250,20,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,25.0
2026-05,350,250,40,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,25.0
2026-05,350,100,20,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,10.0
2026-05,350,100,40,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,10.0
2026-05,350,75,40,51,50,37.800000000000054,398.0,0.11327720316464798,0.17378231018467682,7.5
