swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone
150,UP,UP,29.09999999999968,548,True,DOWN,26.599999999998847,522.0,109.39849624060504,100.0-127.2,109.39849624060504,100-127.2
151,DOWN,DOWN,61.500000000001,495,True,UP,29.09999999999968,548.0,211.34020618557275,200.0-261.8,211.34020618557275,200-261.8
153,DOWN,DOWN,19.000000000000128,171,True,UP,29.90000000000048,280.0,63.54515050167164,61.8-78.6,63.54515050167164,61.8-78.6
156,UP,UP,40.599999999999525,286,True,DOWN,18.399999999998418,172.0,220.6521739130599,200.0-261.8,220.6521739130599,200-261.8
159,DOWN,DOWN,18.700000000000383,157,True,UP,18.700000000000383,591.0,100.0,100.0-127.2,100.0,100-127.2
160,UP,UP,84.40000000000003,1489,True,DOWN,18.700000000000383,157.0,451.3368983957128,>=423.6,451.3368983957128,>=423.6
161,DOWN,DOWN,48.79999999999996,452,True,UP,84.40000000000003,1489.0,57.81990521327006,50.0-61.8,57.81990521327006,50-61.8
162,UP,UP,66.19999999999848,754,True,DOWN,48.79999999999996,452.0,135.65573770491503,127.2-161.8,135.65573770491503,127.2-161.8
164,UP,UP,25.50000000000052,853,True,DOWN,36.89999999999971,407.0,69.10569105691252,61.8-78.6,69.10569105691252,61.8-78.6
165,DOWN,DOWN,46.800000000000175,642,True,UP,25.50000000000052,853.0,183.5294117647028,161.8-200.0,183.5294117647028,161.8-200
168,UP,UP,24.600000000001288,200,True,DOWN,16.300000000000203,355.0,150.92024539877903,127.2-161.8,150.92024539877903,127.2-161.8
170,UP,UP,62.89999999999907,596,True,DOWN,26.50000000000041,100.0,237.35849056603053,200.0-261.8,237.35849056603053,200-261.8
176,UP,UP,61.59999999999943,853,True,DOWN,32.00000000000092,170.0,192.49999999999272,161.8-200.0,192.49999999999272,161.8-200
178,UP,UP,41.90000000000138,633,True,DOWN,17.000000000000348,91.0,246.4705882352972,200.0-261.8,246.4705882352972,200-261.8
183,DOWN,DOWN,43.80000000000051,520,True,UP,30.79999999999972,613.0,142.20779220779517,127.2-161.8,142.20779220779517,127.2-161.8
188,UP,UP,23.699999999999832,101,True,DOWN,16.799999999999038,128.0,141.07142857143563,127.2-161.8,141.07142857143563,127.2-161.8
189,DOWN,DOWN,42.200000000001125,322,True,UP,23.699999999999832,101.0,178.05907172996382,161.8-200.0,178.05907172996382,161.8-200
190,UP,UP,92.30000000000072,2031,True,DOWN,42.200000000001125,322.0,218.7203791469153,200.0-261.8,218.7203791469153,200-261.8
192,UP,UP,80.59999999999957,652,True,DOWN,25.10000000000012,314.0,321.1155378486023,261.8-361.8,321.1155378486023,261.8-361.8
195,DOWN,DOWN,23.699999999999832,315,True,UP,12.199999999999989,198.0,194.262295081966,161.8-200.0,194.262295081966,161.8-200
197,DOWN,DOWN,23.300000000001653,818,True,UP,30.200000000000227,343.0,77.15231788079959,61.8-78.6,77.15231788079959,61.8-78.6
198,UP,UP,42.40000000000022,413,True,DOWN,23.300000000001653,818.0,181.97424892702665,161.8-200.0,181.97424892702665,161.8-200
